id,customer_id,merchant_id,device_id,amount,currency,channel,status,txn_lat,txn_lon,txn_city,txn_country,ip_address,created_at,fraud_label,fraud_type
txn_0046430,cust_001319,merch_00399,,436.46,INR,wallet,success,26.147512164643373,91.77346128016322,Guwahati,IN,93.48.8.236,2026-07-15 02:59:41.182437,0,none
txn_0097656,cust_002739,merch_00207,,615.5,INR,card,success,28.7041,77.1025,Delhi,IN,173.248.156.8,2026-06-15 05:56:40.182437,1,velocity_attack
txn_0077190,cust_006635,merch_00087,,2481.2,INR,card,success,12.969570470312384,77.60316265504737,Bengaluru,IN,48.250.105.107,2026-07-06 10:59:22.182437,0,none
txn_0032990,cust_002131,merch_00184,,817.22,INR,card,success,30.736576829203397,76.81894621943053,Chandigarh,IN,133.238.201.127,2026-03-03 21:22:11.182437,0,none
txn_0061792,cust_004673,merch_00002,,1813.82,INR,wallet,success,18.518209686472183,73.87153792910073,Pune,IN,161.61.176.235,2026-07-30 00:06:36.182437,0,none
txn_0005540,cust_009059,merch_00230,,875.7,INR,wallet,success,13.11078742630422,80.24548368683385,Chennai,IN,7.111.202.4,2026-03-27 02:14:01.182437,0,none
txn_0026343,cust_001518,merch_00471,dev_000909,56.89,INR,wallet,success,11.592928300558906,92.71172396500519,Port Blair,IN,123.127.90.140,2026-05-03 01:36:34.182437,0,none
txn_0089196,cust_003033,merch_00497,dev_000845,2935.18,INR,upi,success,30.739267728912125,76.77798057162498,Chandigarh,IN,139.124.171.60,2026-05-20 17:30:13.182437,0,none
txn_0066119,cust_006356,merch_00941,dev_001895,5687.75,INR,wallet,success,22.553388157211945,88.39278761239075,Kolkata,IN,18.236.185.67,2026-06-20 04:12:04.182437,0,none
txn_0058377,cust_002182,merch_00253,,204.14,INR,upi,success,28.681682406357368,77.10768706221873,Delhi,IN,169.165.55.179,2026-05-02 09:32:06.182437,0,none
txn_0015519,cust_004152,merch_00906,,616.73,INR,card,success,19.065632131269194,72.90009290444571,Mumbai,IN,2.11.92.113,2026-07-25 19:07:13.182437,0,none
